iter	Passed	Remaining
0	0	74
1	1	71
2	1	63
3	2	62
4	3	61
5	3	58
6	4	56
7	4	55
8	5	54
9	5	53
10	6	51
11	6	49
12	7	48
13	7	46
14	8	45
15	8	45
16	9	44
17	9	43
18	9	42
19	10	41
20	10	40
21	11	40
22	11	39
23	12	38
24	12	37
25	13	37
26	13	36
27	13	35
28	14	35
29	14	34
30	15	34
31	15	33
32	16	32
33	16	32
34	17	31
35	17	31
36	17	30
37	18	30
38	18	29
39	19	28
40	19	28
41	20	27
42	20	27
43	21	26
44	21	26
45	21	25
46	22	25
47	22	24
48	23	24
49	23	23
50	24	23
51	24	22
52	24	21
53	25	21
54	25	21
55	26	20
56	26	20
57	27	19
58	27	19
59	27	18
60	28	18
61	28	17
62	29	17
63	29	16
64	30	16
65	30	15
66	30	15
67	31	14
68	31	14
69	32	13
70	32	13
71	32	12
72	33	12
73	33	11
74	34	11
75	34	10
76	35	10
77	35	9
78	35	9
79	36	9
80	36	8
81	37	8
82	37	7
83	38	7
84	38	6
85	39	6
86	39	5
87	39	5
88	40	5
89	40	4
90	41	4
91	41	3
92	42	3
93	42	2
94	43	2
95	43	1
96	43	1
97	44	0
98	44	0
99	45	0
