iter	Passed	Remaining
0	142	142781
1	145	72391
2	146	48678
3	147	36820
4	149	29743
5	150	24958
6	152	21627
7	153	19094
8	155	17070
9	156	15447
10	157	14128
11	158	13032
12	159	12084
13	159	11266
14	160	10551
15	161	9922
16	162	9375
17	162	8892
18	163	8455
19	164	8060
20	165	7696
21	165	7367
22	166	7077
23	167	6808
24	168	6557
25	168	6320
26	169	6102
27	169	5896
28	170	5711
29	171	5531
30	171	5361
31	172	5209
32	172	5062
33	173	4929
34	174	4800
35	174	4677
36	175	4561
37	175	4449
38	176	4341
39	176	4243
40	177	4151
41	178	4063
42	178	3975
43	179	3892
44	179	3817
45	180	3742
46	180	3668
47	181	3601
48	182	3536
49	182	3472
50	183	3412
51	184	3355
52	184	3300
53	185	3244
54	185	3191
55	186	3138
56	186	3088
57	187	3044
58	188	3001
59	188	2960
60	189	2920
61	190	2879
62	191	2842
63	191	2801
64	192	2763
65	192	2725
66	193	2688
67	193	2653
68	194	2622
69	194	2589
70	195	2557
71	195	2525
72	196	2494
73	197	2467
74	197	2437
75	198	2409
76	198	2381
77	199	2353
78	199	2326
79	199	2299
80	200	2273
81	200	2248
82	201	2221
83	201	2198
84	202	2175
85	202	2153
86	203	2131
87	203	2110
88	204	2089
89	204	2068
90	205	2048
91	205	2029
92	206	2009
93	206	1991
94	207	1972
95	207	1953
96	207	1935
97	208	1916
98	208	1898
99	209	1881
100	209	1864
101	209	1848
102	210	1832
103	210	1816
104	211	1801
105	211	1786
106	212	1771
107	212	1757
108	213	1742
109	213	1728
110	214	1714
111	214	1701
112	214	1686
113	215	1673
114	215	1660
115	216	1648
116	216	1635
117	217	1623
118	217	1611
119	218	1599
120	218	1588
121	218	1575
122	219	1563
123	219	1552
124	220	1541
125	220	1530
126	221	1519
127	221	1508
128	221	1497
129	222	1487
130	222	1477
131	223	1466
132	223	1456
133	223	1447
134	224	1438
135	225	1429
136	225	1420
137	225	1411
138	226	1402
139	226	1392
140	227	1384
141	227	1374
142	227	1366
143	228	1357
144	228	1349
145	229	1340
146	229	1332
147	230	1324
148	230	1316
149	230	1308
150	231	1300
151	231	1293
152	232	1285
153	232	1277
154	232	1270
155	233	1262
156	233	1255
157	234	1248
158	234	1241
159	235	1233
160	235	1226
161	235	1219
162	236	1213
163	236	1206
164	237	1200
165	237	1193
166	237	1187
167	238	1181
168	239	1175
169	239	1169
170	240	1163
171	240	1157
172	241	1152
173	241	1146
174	241	1140
175	242	1134
176	242	1128
177	243	1123
178	243	1117
179	244	1111
180	244	1106
181	245	1101
182	245	1095
183	245	1090
184	246	1085
185	246	1079
186	247	1074
187	247	1069
188	248	1064
189	248	1059
190	248	1054
191	249	1049
192	249	1043
193	250	1038
194	250	1033
195	250	1028
196	251	1024
197	251	1019
198	252	1014
199	252	1010
200	253	1005
201	253	1001
202	253	996
203	254	992
204	254	987
205	255	983
206	255	979
207	256	974
208	256	970
209	256	966
210	257	962
211	257	958
212	258	954
213	258	950
214	259	946
215	259	942
216	260	938
217	260	934
218	260	930
219	261	926
220	261	922
221	262	918
222	262	914
223	262	910
224	263	907
225	263	903
226	264	899
227	264	895
228	265	892
229	265	888
230	265	884
231	266	880
232	266	877
233	266	873
234	267	870
235	267	866
236	268	863
237	268	859
238	268	856
239	269	853
240	269	849
241	270	846
242	270	843
243	271	840
244	271	837
245	272	834
246	272	831
247	273	828
248	273	825
249	274	822
250	274	818
251	274	815
252	275	812
253	275	809
254	276	806
255	276	803
256	276	800
257	277	797
258	277	794
259	278	791
260	278	788
261	278	785
262	279	783
263	279	780
264	280	777
265	280	774
266	281	771
267	281	769
268	282	766
269	282	763
270	283	761
271	283	758
272	283	756
273	284	753
274	284	750
275	285	748
276	285	746
277	286	743
278	286	741
279	287	739
280	287	736
281	288	734
282	289	732
283	289	729
284	289	727
285	290	724
286	290	722
287	291	719
288	291	717
289	292	715
290	292	712
291	293	710
292	293	708
293	294	706
294	294	703
295	294	701
296	295	699
297	295	696
298	296	694
299	296	692
300	297	690
301	297	687
302	298	685
303	298	683
304	298	680
305	299	678
306	299	676
307	300	674
308	300	672
309	301	670
310	301	668
311	302	666
312	302	664
313	302	661
314	303	659
315	303	657
316	304	655
317	304	653
318	305	651
319	305	649
320	305	647
321	306	645
322	306	643
323	307	641
324	307	639
325	308	637
326	308	635
327	309	633
328	309	631
329	309	629
330	310	627
331	310	625
332	311	623
333	311	621
334	312	619
335	312	617
336	313	615
337	313	613
338	313	612
339	314	610
340	314	608
341	315	606
342	315	604
343	316	602
344	316	601
345	317	599
346	317	597
347	317	595
348	318	593
349	318	591
350	319	589
351	319	588
352	319	586
353	320	584
354	320	582
355	320	580
356	321	578
357	321	576
358	322	575
359	322	573
360	322	571
361	323	569
362	323	567
363	324	566
364	324	564
365	325	563
366	325	561
367	325	559
368	326	557
369	326	556
370	327	554
371	327	553
372	328	551
373	328	550
374	329	548
375	329	546
376	329	545
377	330	543
378	330	542
379	331	540
380	331	539
381	332	537
382	332	536
383	333	534
384	333	533
385	334	531
386	334	529
387	334	528
388	335	526
389	335	525
390	336	523
391	336	522
392	337	520
393	337	519
394	337	517
395	338	516
396	338	514
397	339	513
398	339	511
399	340	510
400	340	508
401	341	507
402	341	505
403	341	504
404	342	503
405	342	501
406	343	500
407	343	498
408	343	497
409	344	495
410	344	494
411	345	492
412	345	491
413	346	489
